latest_RAPTOR_by_player
player_name,position,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,PF,achiupr01,2023,2328,1140,-2.442458528096780,0.6059675331768420,-1.836490994919930,1.583853982185800,-3.756531687972740,-2.17267770578694,-1.771179809557320,-0.2836726083018090,-2.054852417859130,0.400487528610578,0.400487528610578,0,-1.867986322660700,-0.1828059356499960,-2.050792258310690,-0.9560648307826400
Steven Adams,C,adamsst01,2023,2391,1133,-0.539148558923302,4.174472679092360,3.635324120169060,4.196019485073550,0.1861585744365750,4.382178059510130,0.4162789084115730,3.550985038062150,3.967263946473720,3.892111051822680,3.892111051822680,0,0.0250967973857724,3.570023674338320,3.595120471724100,0.2379053556444960
Bam Adebayo,C,adebaba01,2023,6933,3448,-1.9055677850246,2.343397523543150,0.437829738518553,1.584151167502920,2.634869210633940,4.219020378136870,-1.279139764125370,2.528053481995150,1.248913717869780,7.035147701937240,5.69216367939698,1.342984022540260,-0.8093236246291520,2.539525563827100,1.730201939197940,-0.4437890652339470
Ochai Agbaji,SG,agbajoc01,2023,2604,1209,-1.323937715486990,-2.198396043023920,-3.522333758510900,0.6377934140062110,-0.5693488205765790,0.0684445934296315,-1.010695667159290,-1.964926572444460,-2.975622239603750,-0.1394690977815590,-0.1394690977815590,0,-1.145864959566790,-2.506387133355250,-3.652252092922030,0.2162159216894600
Santi Aldama,PF,aldamsa01,2023,3824,1783,-1.02269858163631,-0.4074620658456970,-1.430160647482010,-0.1691962575699920,-1.337526726253010,-1.506722983823,-0.9070950302162490,-0.6754868565774460,-1.582581886793690,1.058654626167780,1.15952029227029,-0.1008656661025080,-1.245487482425660,-0.1654749542206580,-1.41096243664632,-0.035689739696845
Nickeil Alexander-Walker,SG,alexani01,2023,2185,1032,-0.0588653358935318,4.097519420914920,4.038654085021390,-1.212303738993490,2.272451262429870,1.060147523436380,-0.3038303313989560,3.986873711543970,3.683043380145020,3.479913652453210,2.416557418022190,1.063356234431020,-0.0875373854217921,3.351663189457170,3.264125804035380,0.4400434539367240
Grayson Allen,SG,allengr01,2023,4534,2121,-0.0445991604717838,0.2383331244090800,0.1937339639372970,0.5240245034218120,-0.5100395990479910,0.0139849043738215,0.0710878012439703,0.050969702469415,0.1220575037133850,3.127174324497970,2.880050069367840,0.2471242551301370,0.2693443812900000,-0.0303723564952866,0.2389720247947140,0.3817913596483170
Jarrett Allen,C,allenja01,2023,4833,2411,-1.334080445289200,1.627077730821990,0.2929972855327860,3.307167416544360,1.658584771375300,4.965752187919660,-0.4542169763121830,1.668787167403530,1.214570191091340,4.856336854243170,4.528900772407240,0.3274360818359290,-0.348734965813534,2.270492231560410,1.921757265746870,-0.5728681850467730
Jose Alvarado,PG,alvarjo01,2023,2778,1310,0.0392583473452232,1.396093694805930,1.435352042151150,-0.6771845507453480,3.379530873399320,2.70234632265397,-0.1035658465671860,1.865416283725900,1.761850437158720,3.025179268538320,3.025179268538320,0,-0.424834786054889,1.927231590806240,1.502396804751350,0.322323360944499
Kyle Anderson,SF,anderky01,2023,4359,2061,-0.0739591287842121,1.255403300580390,1.181444171796180,1.531263361383480,0.4194800406763190,1.950743402059800,0.2715341912376760,1.14860695784535,1.420141149083030,4.358710264423240,4.395997186862570,-0.0372869224393335,-0.4137670865660250,1.304951349174730,0.8911842626087100,-0.2990855260105890
Giannis Antetokounmpo,PF,antetgi01,2023,4574,2115,3.378602593709100,1.927022232524620,5.30562482623372,2.64694714825283,1.836528724263060,4.483475872515890,3.402392685939170,1.97827275362222,5.380665439561390,8.923683983445650,9.313686033964850,-0.3900020505192000,3.450266519359480,1.22337688471515,4.673643404074630,1.632325649126800
Thanasis Antetokounmpo,SF,antetth01,2023,460,211,-5.630552402794290,-3.92434269539153,-9.554895098185820,-9.563757748040640,-8.887884127757080,-18.45164187579770,-6.778177627717580,-5.231934085931180,-12.01011171364880,-0.9910248489150100,-0.9455954090367680,-0.0454294398782415,-5.48958451986873,-5.543422251961510,-11.03300677183020,-0.688948337670157
Cole Anthony,PG,anthoco01,2023,3230,1552,1.922171601566430,-0.5982074873528390,1.323964114213590,1.709357400950710,0.2263581352787410,1.935715536229450,2.036866772919650,-0.4631402414489070,1.573726531470740,3.396952855840930,3.396952855840930,0,1.469401100757680,-0.3940414515286060,1.075359649229080,-0.7873056369495010
O.G. Anunoby,SF,anunoog01,2023,4888,2386,-0.8581292048934520,1.894824119961800,1.036694915068350,-0.2205462117301220,2.806218956852380,2.58567274512226,-0.7895273925369430,2.19611487869557,1.406587486158630,5.079681327868190,5.079681327868190,0,0.1016591616566340,2.935879331998650,3.037538493655280,0.3932208857245180
Ryan Arcidiacono,PF,arcidry01,2023,375,172,-7.087969984524990,2.313559208850140,-4.774410775674840,-10.77874876257570,6.769757970908690,-4.008990791667030,-8.304900528142620,3.438595942801160,-4.866304585341460,-0.1847359821791340,-0.1847359821791340,0,-6.911505894190370,1.624980419896470,-5.286525474293900,-0.5016448566001260
Deni Avdija,SF,avdijde01,2023,4198,2020,-1.920581651055840,0.9549631306621550,-0.965618520393687,-0.6023590649547820,-0.1800903218942220,-0.782449386849004,-1.762021408649450,0.7913161954800530,-0.9707052131693960,1.834479471494150,1.834479471494150,0,-1.536854723726120,1.23015613904419,-0.3066985846819320,0.0402440823290638
Deandre Ayton,C,aytonde01,2023,4842,2354,-2.28097911509919,0.0889641002520872,-2.192015014847100,-2.180722870656950,-1.802356829673470,-3.983079700330420,-2.407626465250120,-0.3202870889655550,-2.727913554215680,0.0181730881540648,0.3748639501711040,-0.3566908620170390,-2.28794243277191,0.0807753517042189,-2.207167081067690,-0.5178736478825780
Udoka Azubuike,C,azubuud01,2023,785,359,-4.865376574922040,0.979419679845524,-3.885956895076510,-6.299387132153450,-1.953437221043020,-8.252824353196470,-5.484095821829060,0.4670554570320790,-5.01704036479698,-0.4133732294006320,-0.4133732294006320,0,-5.826317149658710,-1.400340536684240,-7.226657686342950,-0.4525997296007870
Marvin Bagley III,PF,baglema01,2023,2066,990,-1.942499100062160,0.9674902519888230,-0.9750088480733390,-1.356408457432510,-1.741878662899650,-3.098287120332150,-1.875703859113270,0.5225691540811570,-1.353134705032120,0.7027748176940440,0.7027748176940440,0,-2.050822659831050,-0.4196888743664690,-2.470511534197520,-0.3975603735320880
Patrick Baldwin Jr.,SF,baldwpa01,2023,507,237,-2.48858266352091,-1.613876915558120,-4.102459579079030,-5.967143430297010,-3.024455756069490,-8.991599186366510,-3.363768620483330,-1.996714398550650,-5.360483019033990,-0.3171134323419190,-0.3244567902978560,0.0073433579559369,-1.755022381454140,-2.555892464446050,-4.31091484590019,0.3598688664232470
LaMelo Ball,PG,ballla01,2023,2757,1268,1.819526217783190,-0.3621583149936960,1.457367902789490,2.658502196157320,-3.271476262939960,-0.6129740667826400,2.22135327474467,-0.9817276985201810,1.239625576224490,2.620348369311580,2.620348369311580,0,2.710252628402780,-0.1347986036660380,2.575454024736740,1.537870684823080
Mo Bamba,C,bambamo01,2023,1613,779,-1.430385111437960,-1.112776146380570,-2.543161257818530,1.54651035850533,1.11132870235404,2.657839060859370,-0.8756354015721130,-0.7230701249392430,-1.598705526511360,0.4616744035035790,0.4887580216224030,-0.0270836181188241,-0.9119300813517670,-1.56466666035794,-2.476596741709710,-0.3906486297907740
Paolo Banchero,PF,banchpa01,2023,5096,2430,-1.577063214409030,-0.8801230195050770,-2.457186233914100,-0.5153537044919070,-4.506574033709300,-5.021927738201200,-1.397951371207270,-1.690712841590380,-3.088664212797650,-0.4215158109472700,-0.4215158109472700,0,-1.596659606855100,-1.85270582820268,-3.449365435057780,0.3953643167041730
Desmond Bane,SG,banede01,2023,4448,2072,2.957002426614760,-0.3050586000498570,2.651943826564900,3.633838560194920,1.506766585631310,5.140605145826220,3.271208298973280,0.0126779924477435,3.28388629142102,6.412956873079670,6.229188210124360,0.183768662955313,2.554425899420060,0.2205239883583970,2.774949887778450,0.6533559765977280
Dalano Banton,PG,bantoda01,2023,588,279,-0.9302759553148690,-1.506331452624650,-2.436607407939520,-4.532787936327300,-0.7688046165489420,-5.301592552876250,-1.748278141079420,-1.453927311058940,-3.202205452138360,-0.0643303088762835,-0.0643303088762835,0,-1.589090630374730,-0.9850312638516520,-2.574121894226380,-0.0615266346758801
Dominick Barlow,PF,barlodo01,2023,893,408,-2.056206583599010,0.3429995519701390,-1.713207031628870,-3.192959791942320,-0.3775420158395690,-3.57050180778189,-2.376548157715440,0.3271499126933650,-2.049398245022080,0.1455207764630830,0.1455207764630830,0,-3.742244014627190,-0.2896630469864780,-4.031907061613670,-0.2198131451784150
