player_name,position,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Usman Garuba,PF,garubus01,2023,2070,970,-1.939369788,0.8654839529,-1.073885835,-4.583807693,-1.49241345,-6.076221143,-2.622893002,0.5083867,-2.114506303,0.3141077547,0.3141077547,0,-2.88426409,-0.3301916493,-3.214455739,-0.1265318554
Luka Garza,C,garzalu01,2023,539,243,4.394439573,-3.443116542,0.9513230305,4.794240453,-3.953965667,0.8402747854,4.75819581,-3.777223692,0.9809721185,0.4657945933,0.4657945933,0,2.779545574,-3.313833829,-0.534288255,0.7056575901
Rudy Gay,SF,gayru01,2023,1753,816,-3.169093711,-1.038106032,-4.207199743,-1.072926805,3.212048382,2.139121577,-2.945600649,-0.1927162636,-3.138316913,-0.161694596,-0.161694596,0,-2.701563189,-1.423353901,-4.124917089,0.0182658393
Paul George,SF,georgpa01,2023,3977,1939,2.744437305,1.674035652,4.418472957,3.60783982,1.342430077,4.950269897,3.096958986,1.698119096,4.795078083,7.519928176,7.519928176,0,3.206201132,1.964256509,5.170457642,0.7538750555
Taj Gibson,PF,gibsota01,2023,995,480,-3.398135466,-0.912921935,-4.311057401,0.306903218,1.326238444,1.633141662,-2.825470359,-0.4818827529,-3.307353112,-0.1360330322,-0.1360330322,0,-2.717144968,-0.3632093694,-3.080354337,-0.3405408275
Josh Giddey,SG,giddejo01,2023,5088,2367,0.3270768125,-2.07530463,-1.748227817,-1.97800608,-2.661226451,-4.639232531,-0.1292826576,-2.335860319,-2.465142977,0.3458341345,0.3458341345,0,-0.5342450738,-2.322358525,-2.856603599,0.5364754446
Shai Gilgeous-Alexander,PG,gilgesh01,2023,5208,2416,5.376663626,-0.01609909226,5.360564533,1.969240371,0.8885475457,2.857787916,5.012311545,0.1616610152,5.173972561,9.862722666,9.862722666,0,4.426448747,0.8903252269,5.316773974,0.9847185218
Anthony Gill,PF,gillan01,2023,1320,624,-1.059424716,-3.629756466,-4.689181182,-1.405333664,1.332947659,-0.07238600528,-1.182599993,-2.795327948,-3.977927941,-0.3900676797,-0.3900676797,0,-1.774131236,-3.318229988,-5.092361225,-0.2223927245
Jacob Gilyard,PG,gilyaja01,2023,87,41,-2.531010042,-2.961193486,-5.492203528,-6.209105054,-2.387973187,-8.597078242,-3.409289523,-3.045945932,-6.455235455,-0.07763063755,-0.07763063755,0,-1.255545817,0.2727810564,-0.9827647605,0.1611950957
Rudy Gobert,C,goberru01,2023,4837,2325,-1.620521586,3.807122932,2.186601346,-1.681386413,1.267872331,-0.4135140822,-1.718514267,3.50524618,1.786731912,5.326411304,5.24788592,0.07852538389,-2.190458576,3.971531697,1.78107312,-0.7547366335
